Cantine Maschio,Italy,Italy Other,Italy,4/1/2018,4/1/2018,
Val d'Oca,Prosecco di Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
Vinavanti,California,California,US,4/1/2018,4/1/2018,
Vino V,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Viticoltori Ponte,Prosecco del Veneto,Veneto,Italy,4/1/2018,4/1/2018,
Lapostolle,,Casablanca Valley,Chile,4/1/2018,4/1/2018,
Le Vigne di Alice,Prosecco di Conegliano e Valdobbiadene,Veneto,Italy,4/1/2018,4/1/2018,
McGregor,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Miles,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Morro Bay,California,California,US,4/1/2018,4/1/2018,
Pizzolato,Prosecco del Veneto,Veneto,Italy,4/1/2018,4/1/2018,
Red Newt Cellars,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Ca'Tullio,Prosecco del Veneto,Veneto,Italy,4/1/2018,4/1/2018,
Michlits,,Burgenland,Austria,4/1/2018,4/1/2018,
Château de Callac,Graves,Bordeaux,France,4/1/2018,4/1/2018,
Château de Marsan,Bordeaux Blanc,Bordeaux,France,4/1/2018,4/1/2018,
Guardian,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Kerloo,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Kohl,,Weinviertel,Austria,4/1/2018,4/1/2018,
Las Positas,California,California,US,4/1/2018,4/1/2018,
Lieb,New York,New York,US,4/1/2018,4/1/2018,
Luberri,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Macari,North Fork of Long Island,New York,US,4/1/2018,4/1/2018,
Malat,,Kremstal,Austria,4/1/2018,4/1/2018,
Milbrandt,Wahluke Slope,Washington,US,4/1/2018,4/1/2018,
Ojai,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
ONX,Templeton Gap District,California,US,4/1/2018,4/1/2018,
Pomum,Snipes Mountain,Washington,US,4/1/2018,4/1/2018,
Prospect 772,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Revello Fratelli,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Gebeshuber,,Thermenregion,Austria,4/1/2018,4/1/2018,
Tenuta La Marchesa,Gavi,Piedmont,Italy,4/1/2018,4/1/2018,
Trione,Alexander Valley,California,US,4/1/2018,4/1/2018,
Vinos de Arganza,Bierzo,Northern Spain,Spain,4/1/2018,4/1/2018,
Vinos de Arganza,Vino de la Tierra de Castilla y León,Northern Spain,Spain,4/1/2018,4/1/2018,
Walla Walla Vintners,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Winzer Krems,,Niederösterreich,Austria,4/1/2018,4/1/2018,
Wölffer,Long Island,New York,US,4/1/2018,4/1/2018,
Dunbar,Sonoma Valley,California,US,4/1/2018,4/1/2018,
Eschenhof Holzer,,Wagram,Austria,4/1/2018,4/1/2018,
Fattorie Romeo del Castello,Etna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Flying Cloud,Paso Robles,California,US,4/1/2018,4/1/2018,
Gadais Père et Fils,Muscadet Sèvre et Maine,Loire Valley,France,4/1/2018,4/1/2018,
André Brunel,Côtes du Rhône,Rhône Valley,France,4/1/2018,4/1/2018,
Majolini,Franciacorta,Lombardy,Italy,4/1/2018,4/1/2018,
Montaudon,Champagne,Champagne,France,4/1/2018,4/1/2018,
Montemercurio,Vino Nobile di Montepulciano,Tuscany,Italy,4/1/2018,4/1/2018,
Patrick Javillier,Meursault,Burgundy,France,4/1/2018,4/1/2018,
Philippe Fontaine,Champagne,Champagne,France,4/1/2018,4/1/2018,
Pillitteri,Niagara-On-The-Lake,Ontario,Canada,4/1/2018,4/1/2018,
Robert Mondavi,Carneros,California,US,4/1/2018,4/1/2018,
Roederer Estate,Anderson Valley,California,US,4/1/2018,4/1/2018,
Rusack,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Bellavista,Franciacorta,Lombardy,Italy,4/1/2018,4/1/2018,
Chanoine,Champagne,Champagne,France,4/1/2018,4/1/2018,
Chehalem,Ribbon Ridge,Oregon,US,4/1/2018,4/1/2018,
Chehalem,Dundee Hills,Oregon,US,4/1/2018,4/1/2018,
Henri de Villamont,Meursault,Burgundy,France,4/1/2018,4/1/2018,
Vollereaux,Champagne,Champagne,France,4/1/2018,4/1/2018,
Wittmann,,Rheinhessen,Germany,4/1/2018,4/1/2018,
Valentina Cubi,Amarone della Valpolicella,Veneto,Italy,4/1/2018,4/1/2018,
Deutz,Champagne,Champagne,France,4/1/2018,4/1/2018,
Domaine Serene,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Dr. Loosen,,Mosel,Germany,4/1/2018,4/1/2018,
H. Blin,Champagne,Champagne,France,4/1/2018,4/1/2018,
Henri de Villamont,Chambolle-Musigny,Burgundy,France,4/1/2018,4/1/2018,
Jeaunaux-Robin,Champagne,Champagne,France,4/1/2018,4/1/2018,
Bell,Rutherford,California,US,4/1/2018,4/1/2018,
Castello di Amorosa,Napa Valley,California,US,4/1/2018,4/1/2018,
Château Vray Croix de Gay,Pomerol,Bordeaux,France,4/1/2018,4/1/2018,
Dampierre,Champagne,Champagne,France,4/1/2018,4/1/2018,
Santa Maria La Palma,Cannonau di Sardegna,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Sparkman,Red Mountain,Washington,US,4/1/2018,4/1/2018,
Argiolas,Isola dei Nuraghi,Sicily & Sardinia,Italy,4/1/2018,4/1/2018,
Babcock,Sta. Rita Hills,California,US,4/1/2018,4/1/2018,
Cape View,,Stellenbosch,South Africa,4/1/2018,4/1/2018,
Ken Forrester,,Western Cape,South Africa,4/1/2018,4/1/2018,
Louis Bernard,Côtes du Rhône Villages,Rhône Valley,France,4/1/2018,4/1/2018,
Lyeth,Sonoma County,California,US,4/1/2018,4/1/2018,
Marco Cecchini,Colli Orientali del Friuli,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Vigneti Le Monde,Friuli Grave,Northeastern Italy,Italy,4/1/2018,4/1/2018,
V&N; Cellars,Cava,Catalonia,Spain,4/1/2018,4/1/2018,
Winzer Krems,,Kremstal,Austria,4/1/2018,4/1/2018,
Zerba Cellars,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Insania,Red Mountain,Washington,US,4/1/2018,4/1/2018,
Knapp,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Lava Cap,El Dorado,California,US,4/1/2018,4/1/2018,
Loess,Rueda,Northern Spain,Spain,4/1/2018,4/1/2018,
MICA Cellars,Suisun Valley,California,US,4/1/2018,4/1/2018,
Michael Pozzan,Carneros,California,US,4/1/2018,4/1/2018,
Domaine du Grand Cros,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
El Coto,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Fenestra,Lodi,California,US,4/1/2018,4/1/2018,
Gunter Triebaumer,,Österreichischer Sekt,Austria,4/1/2018,4/1/2018,
Hanna,Russian River Valley,California,US,4/1/2018,4/1/2018,
Alain Jaume et Fils,Côtes du Rhône,Rhône Valley,France,4/1/2018,4/1/2018,
Aleo,Vino de la Tierra de Castilla y León,Northern Spain,Spain,4/1/2018,4/1/2018,
Altùris,Venezia Giulia,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Camaraderie,Wahluke Slope,Washington,US,4/1/2018,4/1/2018,
Camaraderie,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
Beringer,Napa Valley,California,US,4/1/2018,4/1/2018,
Big Basin,Monterey County,California,US,4/1/2018,4/1/2018,
Boude Baudin,Champagne,Champagne,France,4/1/2018,4/1/2018,
Conn Creek,Chiles Valley,California,US,4/1/2018,4/1/2018,
D.R. Stephens,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Davis Family,Russian River Valley,California,US,4/1/2018,4/1/2018,
Domaine Jeannin-Naltet,Mercurey,Burgundy,France,4/1/2018,4/1/2018,
Prospect 772,Calaveras County,California,US,4/1/2018,4/1/2018,
Qupé,Edna Valley,California,US,4/1/2018,4/1/2018,
Rex Hill,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Ruby,Chehalem Mountains,Oregon,US,4/1/2018,4/1/2018,
Structure,Horse Heaven Hills,Washington,US,4/1/2018,4/1/2018,
Testarossa,Arroyo Grande Valley,California,US,4/1/2018,4/1/2018,
Tumwater,Dundee Hills,Oregon,US,4/1/2018,4/1/2018,
Joseph Jewell,Russian River Valley,California,US,4/1/2018,4/1/2018,
Lapostolle,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
Le Cadeau,Oregon,Oregon,US,4/1/2018,4/1/2018,
Le Vigne,Paso Robles,California,US,4/1/2018,4/1/2018,
Maximin Grünhäuser,,Mosel,Germany,4/1/2018,4/1/2018,
Northstar,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Padis,Napa Valley,California,US,4/1/2018,4/1/2018,
Paul O'Brien,Umpqua Valley,Oregon,US,4/1/2018,4/1/2018,
Flying Goat Cellars,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Abbazia di Novacella,Alto Adige Valle Isarco,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Midsummer Cellars,Napa Valley,California,US,4/1/2018,4/1/2018,
Les Belles Collines,Napa Valley,California,US,4/1/2018,4/1/2018,
Lutum,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Turiya,Ballard Canyon,California,US,4/1/2018,4/1/2018,
Iron Horse,Green Valley,California,US,4/1/2018,4/1/2018,
Brandini,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Artesa,Carneros,California,US,4/1/2018,4/1/2018,
Carlisle,Sonoma Valley,California,US,4/1/2018,4/1/2018,
Château Vignelaure,Coteaux d'Aix-en-Provence,Provence,France,4/1/2018,4/1/2018,
Clos d'Argentine,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Mas de Cadenet,Côtes de Provence Sainte-Victoire,Provence,France,4/1/2018,4/1/2018,
Passing Time,Horse Heaven Hills,Washington,US,4/1/2018,4/1/2018,
Resalte,Ribera del Duero,Northern Spain,Spain,4/1/2018,4/1/2018,
Sanctuary,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Terre Rouge,Sierra Foothills,California,US,4/1/2018,4/1/2018,
Limerick Lane,Russian River Valley,California,US,4/1/2018,4/1/2018,
Loring Wine Company,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Eighty Four,Napa Valley,California,US,4/1/2018,4/1/2018,
Flying Goat Cellars,Sta. Rita Hills,California,US,4/1/2018,4/1/2018,
Four Lanterns,Paso Robles,California,US,4/1/2018,4/1/2018,
Turiya,Central Coast,California,US,4/1/2018,4/1/2018,
World's End,Napa Valley,California,US,4/1/2018,4/1/2018,
Benegas,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
W.H. Smith,Howell Mountain,California,US,4/1/2018,4/1/2018,
Alleromb,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Ardor,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
Berryessa Gap,Yolo County,California,US,4/1/2018,4/1/2018,
Brezza,Dolcetto d'Alba,Piedmont,Italy,4/1/2018,4/1/2018,
Château Bois Chantant,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Château de Campuget,Costières de Nîmes,Rhône Valley,France,4/1/2018,4/1/2018,
Château de l'Aubrade,Bordeaux Supérieur,Bordeaux,France,4/1/2018,4/1/2018,
Château de Pressac,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Chateau Lafayette Reneau,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Château Maison Noble Saint Martin,Bordeaux,Bordeaux,France,4/1/2018,4/1/2018,
Cupcake,California,California,US,4/1/2018,4/1/2018,
Raconteur,Washington,Washington,US,4/1/2018,4/1/2018,
Savage Grace,Columbia Gorge (WA),Washington,US,4/1/2018,4/1/2018,
Seven Falls,Wahluke Slope,Washington,US,4/1/2018,4/1/2018,
Silvertip,Santa Cruz Mountains,California,US,4/1/2018,4/1/2018,
Steininger,,Kamptal,Austria,4/1/2018,4/1/2018,
Stevens,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
Strauss,,Steiermark,Austria,4/1/2018,4/1/2018,
Strauss,,Südsteiermark,Austria,4/1/2018,4/1/2018,
Trinity River,North Coast,California,US,4/1/2018,4/1/2018,
Umathum,,Burgenland,Austria,4/1/2018,4/1/2018,
Vintage Cowboy,Paso Robles,California,US,4/1/2018,4/1/2018,
Kontos,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Landhaus Mayer,,Niederösterreich,Austria,4/1/2018,4/1/2018,
Lavau,,Rhône Valley,France,4/1/2018,4/1/2018,
L'Ecole No. 41,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Lyrarakis,,Crete,Greece,4/1/2018,4/1/2018,
Midnight,Paso Robles,California,US,4/1/2018,4/1/2018,
Michael Pozzan,Alexander Valley,California,US,4/1/2018,4/1/2018,
Michele Chiarlo,Gavi,Piedmont,Italy,4/1/2018,4/1/2018,
Monte Xanic,,Valle de Guadalupe,Mexico,4/1/2018,4/1/2018,
Paoletti,Oak Knoll District,California,US,4/1/2018,4/1/2018,
Peconic Bay Winery,North Fork of Long Island,New York,US,4/1/2018,4/1/2018,
Príncipe de Viana,Navarra,Northern Spain,Spain,4/1/2018,4/1/2018,
Proemio,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Quady North,Rogue Valley,Oregon,US,4/1/2018,4/1/2018,
Quinta do Portal,,Douro,Portugal,4/1/2018,4/1/2018,
Raptor Ridge,Chehalem Mountains,Oregon,US,4/1/2018,4/1/2018,
Rodney Strong,Northern Sonoma,California,US,4/1/2018,4/1/2018,
Saintsbury,Carneros,California,US,4/1/2018,4/1/2018,
Sextant,Paso Robles,California,US,4/1/2018,4/1/2018,
Solar de Pinheiro,,Vinho Verde,Portugal,4/1/2018,4/1/2018,
Suavia,Soave Classico,Veneto,Italy,4/1/2018,4/1/2018,
Tilia,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
B Cellars,Russian River Valley,California,US,4/1/2018,4/1/2018,
Bacio della Luna,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Barlow,Calistoga,California,US,4/1/2018,4/1/2018,
Borgo Maragliano,Piedmont,Piedmont,Italy,4/1/2018,4/1/2018,
Bortolotti,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy,4/1/2018,4/1/2018,
Coiled,,Idaho,US,4/1/2018,4/1/2018,
Colter's Creek,Idaho,Idaho,US,4/1/2018,4/1/2018,
Corte Falco,Soave,Veneto,Italy,4/1/2018,4/1/2018,
Domenico Cavazza,Gambellara Classico,Veneto,Italy,4/1/2018,4/1/2018,
Cascina La Ghersa,Monferrato,Piedmont,Italy,4/1/2018,4/1/2018,
Kangarilla Road,McLaren Vale,South Australia,Australia,4/1/2018,4/1/2018,
Walt,Russian River Valley,California,US,4/1/2018,4/1/2018,
WillaKenzie Estate,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Willm,Alsace,Alsace,France,4/1/2018,4/1/2018,
Jean-Marc Bernhard,Alsace,Alsace,France,4/1/2018,4/1/2018,
Yeringberg,Yarra Valley,Victoria,Australia,4/1/2018,4/1/2018,
Armida,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Marqués de Murrieta,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Biecher & Schaal,Alsace,Alsace,France,4/1/2018,4/1/2018,
Domaines Schlumberger,Alsace,Alsace,France,4/1/2018,4/1/2018,
Foxen,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
Les Belles Collines,California,California,US,4/1/2018,4/1/2018,
Luis Duarte,,Alentejano,Portugal,4/1/2018,4/1/2018,
Melhill,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Niner,Paso Robles,California,US,4/1/2018,4/1/2018,
Purple Hands,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Quinta da Lagoalva de Cima,,Tejo,Portugal,4/1/2018,4/1/2018,
Quinta do Monte Xisto,,Douro,Portugal,4/1/2018,4/1/2018,
Reichsgraf von Kesselstatt,,Mosel,Germany,4/1/2018,4/1/2018,
Stone The Crows,Napa Valley,California,US,4/1/2018,4/1/2018,
Sturm,Collio,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Plantagenet,Great Southern,Western Australia,Australia,4/1/2018,4/1/2018,
Scratch,Arroyo Seco,California,US,4/1/2018,4/1/2018,
Sipp Mack,Alsace,Alsace,France,4/1/2018,4/1/2018,
St. Amant,Mokelumne River,California,US,4/1/2018,4/1/2018,
Stoller,Dundee Hills,Oregon,US,4/1/2018,4/1/2018,
Fable Mountain,,Coastal Region,South Africa,4/1/2018,4/1/2018,
Vine Cliff,Los Carneros,California,US,4/1/2018,4/1/2018,
Va Piano,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Y Rousseau,Mount Veeder,California,US,4/1/2018,4/1/2018,
Monte Volpe,Mendocino,California,US,4/1/2018,4/1/2018,
Palladino,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Paradise Ridge,Rockpile,California,US,4/1/2018,4/1/2018,
Pecchenino,Dogliani Superiore,Piedmont,Italy,4/1/2018,4/1/2018,
Poet's Leap,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Rafael Cambra,Valencia,Levante,Spain,4/1/2018,4/1/2018,
Raphael,North Fork of Long Island,New York,US,4/1/2018,4/1/2018,
Seven Hills,Walla Walla Valley (WA),Washington,US,4/1/2018,4/1/2018,
Snoqualmie,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Stags' Leap Winery,Napa Valley,California,US,4/1/2018,4/1/2018,
The Grapes of Roth,Long Island,New York,US,4/1/2018,4/1/2018,
The Withers Winery,Anderson Valley,California,US,4/1/2018,4/1/2018,
Truchard,Carneros,California,US,4/1/2018,4/1/2018,
Acacia,Carneros,California,US,4/1/2018,4/1/2018,
Array,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
Baracchi Riccardo,Cortona,Tuscany,Italy,4/1/2018,4/1/2018,
Barrister,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Bodegas Berceo,Rioja,Northern Spain,Spain,4/1/2018,4/1/2018,
Bunnell,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Castello di Neive,Piemonte,Piedmont,Italy,4/1/2018,4/1/2018,
Castello di Querceto,Colli della Toscana Centrale,Tuscany,Italy,4/1/2018,4/1/2018,
Chateau Ste. Michelle,Horse Heaven Hills,Washington,US,4/1/2018,4/1/2018,
Cobb,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Comm. G. B. Burlotto,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Cooper-Garrod,Santa Cruz Mountains,California,US,4/1/2018,4/1/2018,
Mosquito Fleet,Red Mountain,Washington,US,4/1/2018,4/1/2018,
Nadia,Santa Barbara County,California,US,4/1/2018,4/1/2018,
Nittnaus Hans und Christine,,Burgenland,Austria,4/1/2018,4/1/2018,
Nottingham Cellars,Livermore Valley,California,US,4/1/2018,4/1/2018,
Poggio Argentiera,Morellino di Scansano,Tuscany,Italy,4/1/2018,4/1/2018,
Pride Mountain,Sonoma County,California,US,4/1/2018,4/1/2018,
Reyneke,,Stellenbosch,South Africa,4/1/2018,4/1/2018,
Ruffino,Chianti Classico,Tuscany,Italy,4/1/2018,4/1/2018,
Saint Clair,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Soellner,,Wagram,Austria,4/1/2018,4/1/2018,
Woodinville Wine Cellars,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Kanonkop,,Simonsberg-Stellenbosch,South Africa,4/1/2018,4/1/2018,
El Enemigo,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Château d'Esclans,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Château Riotor,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Château Sainte Marguerite,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Cloudy Bay,,Marlborough,New Zealand,4/1/2018,4/1/2018,
Domaine de la Bastide Blanche,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Domaine Sainte-Marie,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Dry Creek Vineyard,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Dry River,,Martinborough,New Zealand,4/1/2018,4/1/2018,
Dutton Estate,Russian River Valley,California,US,4/1/2018,4/1/2018,
Failla,Russian River Valley,California,US,4/1/2018,4/1/2018,
Friedeman,Russian River Valley,California,US,4/1/2018,4/1/2018,
Akarua,,Central Otago,New Zealand,4/1/2018,4/1/2018,
Benvenuto de la Serna,Valle de Uco,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Carrick,,Central Otago,New Zealand,4/1/2018,4/1/2018,
JCB,Côtes de Provence,Provence,France,4/1/2018,4/1/2018,
Casca Wines,,Lisboa,Portugal,4/1/2018,4/1/2018,
Cave de Viré,Mâcon-Villages,Burgundy,France,4/1/2018,4/1/2018,
Cortes de Cima,,Alentejano,Portugal,4/1/2018,4/1/2018,
Domaine Bousquet,Tupungato,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Mendel,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Messias,,Vinho Verde,Portugal,4/1/2018,4/1/2018,
Mont Sec,Texas,Texas,US,4/1/2018,4/1/2018,
Paolo Manzone,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
Quinta de Paços,,Vinho Verde,Portugal,4/1/2018,4/1/2018,
Rascal,Oregon,Oregon,US,4/1/2018,4/1/2018,
Terrazas de Los Andes,Salta,Other,Argentina,4/1/2018,4/1/2018,
Jack's House,California,California,US,4/1/2018,4/1/2018,
Kiwi Cuvée,Vin de France,France Other,France,4/1/2018,4/1/2018,
Domaine Michel Goubard,Côte Chalonnaise,Burgundy,France,4/1/2018,4/1/2018,
Domaine Poulleau Père et Fils,Chorey-lès-Beaune,Burgundy,France,4/1/2018,4/1/2018,
Durigutti,Mendoza,Mendoza Province,Argentina,4/1/2018,4/1/2018,
El Esteco,Calchaquí Valley,Other,Argentina,4/1/2018,4/1/2018,
Felten Cellars,Paso Robles,California,US,4/1/2018,4/1/2018,
Wines & Winemakers,,Península de Setúbal,Portugal,4/1/2018,4/1/2018,
Lagarde,Luján de Cuyo,Mendoza Province,Argentina,4/1/2018,4/1/2018,
Marchesi di Barolo,Barolo,Piedmont,Italy,4/1/2018,4/1/2018,
McPherson,Texas,Texas,US,4/1/2018,4/1/2018,
Patriarche Père et Fils,Coteaux Bourguignons,Burgundy,France,4/1/2018,4/1/2018,
Paul Reitz,Saint-Véran,Burgundy,France,4/1/2018,4/1/2018,
Pech Merle,Dry Creek Valley,California,US,4/1/2018,4/1/2018,
Punset,Barbaresco,Piedmont,Italy,4/1/2018,4/1/2018,
Ribafreixo,,Alentejo,Portugal,4/1/2018,4/1/2018,
Jacob's Creek,South Eastern Australia,Australia Other,Australia,4/1/2018,4/1/2018,
William Knuttel,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Casa Larga,Finger Lakes,New York,US,4/1/2018,4/1/2018,
Cave de Beblenheim,Alsace,Alsace,France,4/1/2018,4/1/2018,
De Loach,Sonoma Coast,California,US,4/1/2018,4/1/2018,
De Martino,,Central Valley,Chile,4/1/2018,4/1/2018,
Dopff Au Moulin,Alsace,Alsace,France,4/1/2018,4/1/2018,
Center of Effort,Edna Valley,California,US,4/1/2018,4/1/2018,
Handley,Anderson Valley,California,US,4/1/2018,4/1/2018,
Kuleto Estate,Napa Valley,California,US,4/1/2018,4/1/2018,
Lane Tanner,Santa Maria Valley,California,US,4/1/2018,4/1/2018,
MacRostie,Sonoma Coast,California,US,4/1/2018,4/1/2018,
Monte De Oro,Temecula Valley,California,US,4/1/2018,4/1/2018,
Ninquén,,Colchagua Valley,Chile,4/1/2018,4/1/2018,
Oro de Castilla,Rueda,Northern Spain,Spain,4/1/2018,4/1/2018,
Pablo del Villar,Rueda,Northern Spain,Spain,4/1/2018,4/1/2018,
Pax,North Coast,California,US,4/1/2018,4/1/2018,
Robert Foley,Napa Valley,California,US,4/1/2018,4/1/2018,
42°S,Tasmania,Tasmania,Australia,4/1/2018,4/1/2018,
Manyana,Cariñena,Northern Spain,Spain,4/1/2018,4/1/2018,
McWilliam's Hanwood Estate,South Eastern Australia,Australia Other,Australia,4/1/2018,4/1/2018,
Paternoster,Aglianico del Vulture,Southern Italy,Italy,4/1/2018,4/1/2018,
G. H. Mumm,Champagne,Champagne,France,4/1/2018,4/1/2018,
Jean Milan,Champagne,Champagne,France,4/1/2018,4/1/2018,
Monte da Penha,,Alentejo,Portugal,4/1/2018,4/1/2018,
Patton Valley,Willamette Valley,Oregon,US,4/1/2018,4/1/2018,
Pierre Gimonnet et Fils,Champagne,Champagne,France,4/1/2018,4/1/2018,
Scubla,Colli Orientali del Friuli,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Adelsheim,Dundee Hills,Oregon,US,4/1/2018,4/1/2018,
Bruno Paillard,Champagne,Champagne,France,4/1/2018,4/1/2018,
Castello d'Albola,Vin Santo del Chianti Classico,Tuscany,Italy,4/1/2018,4/1/2018,
Ferrari,Trento,Northeastern Italy,Italy,4/1/2018,4/1/2018,
Laetitia,Arroyo Grande Valley,California,US,4/1/2018,4/1/2018,
Bella,Alexander Valley,California,US,4/1/2018,4/1/2018,
Quinta do Sagrado,,Douro,Portugal,4/1/2018,4/1/2018,
San Pedro de Yacochuya,Salta,Other,Argentina,4/1/2018,4/1/2018,
Sobredos,,Douro,Portugal,4/1/2018,4/1/2018,
St. Supéry,Rutherford,California,US,4/1/2018,4/1/2018,
Von Schleinitz,,Mosel,Germany,4/1/2018,4/1/2018,
Barnard Griffin,Columbia Valley (WA),Washington,US,4/1/2018,4/1/2018,
Beacon Hill,Chehalem Mountains,Oregon,US,4/1/2018,4/1/2018,
Bernard Magrez,Médoc,Bordeaux,France,4/1/2018,4/1/2018,
Brian Carter Cellars,Yakima Valley,Washington,US,4/1/2018,4/1/2018,
Buttonwood,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Château Corbin,Saint-Émilion,Bordeaux,France,4/1/2018,4/1/2018,
Château Haut-Logat,Haut-Médoc,Bordeaux,France,4/1/2018,4/1/2018,
Château La Branne,Médoc,Bordeaux,France,4/1/2018,4/1/2018,
Château Mayne Vieil,Fronsac,Bordeaux,France,4/1/2018,4/1/2018,
Château Mille-Roses,Margaux,Bordeaux,France,4/1/2018,4/1/2018,
Chessman,Santa Ynez Valley,California,US,4/1/2018,4/1/2018,
Deerfield Ranch,Sonoma Valley,California,US,4/1/2018,4/1/2018,
Domaine Franck Besson,Juliénas,Beaujolais,France,4/1/2018,4/1/2018,
Efeste,Red Mountain,Washington,US,4/1/2018,4/1/2018,
Efeste,Ancient Lakes,Washington,US,4/1/2018,4/1/2018,
Firesteed,Oregon,Oregon,US,4/1/2018,4/1/2018,
Iron Hub,Sierra Foothills,California,US,4/1/2018,4/1/2018,
Kooyong,Mornington Peninsula,Victoria,Australia,4/1/2018,4/1/2018,
Moncaro,Verdicchio dei Castelli di Jesi Classico,Central Italy,Italy,4/1/2018,4/1/2018,
Finca Constancia,Vino de la Tierra de Castilla,Central Spain,Spain,4/1/2018,4/1/2018,
